asset,dtutc,open,high,low,close,volume
XXBTZUSD,28/10/2024 00:00,68606,70059,68483,69910,510725
XXBTZUSD,27/10/2024 00:00,67108,68265,66949,68023,280424
XXBTZUSD,26/10/2024 00:00,66764,67402,66487,67111,311457
XXBTZUSD,25/10/2024 00:00,68239,68710,65867,66723,573448
XXBTZUSD,24/10/2024 00:00,66690,68715,66548,68202,453741
XXBTZUSD,23/10/2024 00:00,67416,67416,65265,66725,460752
XXBTZUSD,22/10/2024 00:00,67378,67784,66695,67390,444006
XXBTZUSD,21/10/2024 00:00,69019,69423,66889,67421,503675
XXBTZUSD,20/10/2024 00:00,68378,69291,68124,69003,300131
XXBTZUSD,19/10/2024 00:00,68436,68671,68042,68376,249120
XXBTZUSD,18/10/2024 00:00,67383,68957,67212,68443,503635
XXBTZUSD,17/10/2024 00:00,67643,67905,66724,67345,454076
XXBTZUSD,16/10/2024 00:00,67116,68267,66788,67632,516666
XXBTZUSD,15/10/2024 00:00,66117,67764,64986,67013,653465
XXBTZUSD,14/10/2024 00:00,62870,66453,62502,66072,601598
XXBTZUSD,13/10/2024 00:00,63230,63277,62110,62879,300833
XXBTZUSD,12/10/2024 00:00,62540,63407,62496,63210,288246
XXBTZUSD,11/10/2024 00:00,60315,63309,60103,62427,458173
XXBTZUSD,10/10/2024 00:00,60629,61292,59020,60317,466624
XXBTZUSD,09/10/2024 00:00,62152,62528,60413,60636,419511
XXBTZUSD,08/10/2024 00:00,62273,63083,61922,62172,428621
XXBTZUSD,07/10/2024 00:00,62818,64303,62263,62284,496755
XXBTZUSD,06/10/2024 00:00,62064,62879,61816,62821,273077
XXBTZUSD,05/10/2024 00:00,62100,62350,61730,62062,257696
XXBTZUSD,04/10/2024 00:00,60760,62440,60505,62062,450198
XXBTZUSD,03/10/2024 00:00,60642,61465,60100,60761,519251
XXBTZUSD,02/10/2024 00:00,60820,62281,60029,60652,574556
XXBTZUSD,01/10/2024 00:00,63363,64116,60390,60877,682006
XXBTZUSD,30/09/2024 00:00,65594,65594,63028,63323,531271
XXBTZUSD,29/09/2024 00:00,65874,66033,65445,65632,252702
XXBTZUSD,28/09/2024 00:00,65796,66202,65449,65902,263364
XXBTZUSD,27/09/2024 00:00,65169,66403,64852,65789,462857
XXBTZUSD,26/09/2024 00:00,63137,65419,62807,65149,531680
XXBTZUSD,25/09/2024 00:00,64280,64755,62978,63159,385986
XXBTZUSD,24/09/2024 00:00,63347,64593,62759,64324,451548
XXBTZUSD,23/09/2024 00:00,63601,64701,62823,63334,462501
XXBTZUSD,22/09/2024 00:00,63378,63886,62489,63575,330204
XXBTZUSD,21/09/2024 00:00,63196,63498,62804,63380,256859
XXBTZUSD,20/09/2024 00:00,62976,64037,62460,63139,516375
XXBTZUSD,19/09/2024 00:00,61806,63819,61701,62948,619236
XXBTZUSD,18/09/2024 00:00,60322,61516,59310,61516,611312
XXBTZUSD,17/09/2024 00:00,58190,61255,57675,60305,594404
XXBTZUSD,16/09/2024 00:00,59128,59191,57596,58215,509894
XXBTZUSD,15/09/2024 00:00,59998,60339,58831,59189,325498
XXBTZUSD,14/09/2024 00:00,60552,60598,59587,59989,307883
XXBTZUSD,13/09/2024 00:00,58142,60614,57684,60561,546602
XXBTZUSD,12/09/2024 00:00,57361,58432,57356,58129,533050
XXBTZUSD,11/09/2024 00:00,57651,57964,55603,57366,571649
XXBTZUSD,10/09/2024 00:00,57042,57963,56472,57631,471769
XXBTZUSD,09/09/2024 00:00,54868,57808,54622,57058,578282
XXBTZUSD,08/09/2024 00:00,54171,55210,53722,54826,350558
XXBTZUSD,07/09/2024 00:00,53948,54803,53766,54163,367901
XXBTZUSD,06/09/2024 00:00,56192,56929,52727,53922,772692
XXBTZUSD,05/09/2024 00:00,57999,58249,55835,56147,509864
XXBTZUSD,04/09/2024 00:00,57500,58475,55951,57983,584618
XXBTZUSD,03/09/2024 00:00,59141,59764,57496,57496,470982
